raw_locality_normalized,standard_locality_normalized,standard_locality_display,method,confidence,n_listings,flag_for_manual_review
ramanashree enclave,ramanashree enclave,Ramanashree Enclave,unique,100.0,2,False
ramanjaneyanagar,ramanjaneyanagar,Ramanjaneyanagar,unique,100.0,5,False
ramaswamy palya kammanahalli main road,ramaswamy palya kammanahalli main road,Ramaswamy Palya - Kammanahalli Main Road,unique,100.0,1,False
ramchandrapuram,ramchandrapuram,Ramchandrapuram,unique,100.0,2,False
ramesh nagar,ramesh nagar,Ramesh Nagar,unique,100.0,3,False
rammana layout,rammana layout,Rammana Layout,unique,100.0,1,False
rayasandra,rayasandra,Rayasandra,unique,100.0,22,False
reliaable tranquil layout,reliaable tranquil layout,Reliaable Tranquil Layout,unique,100.0,8,False
reliable woods layout,reliable woods layout,Reliable Woods Layout,unique,100.0,1,False
remco bhel layout,remco bhel layout,Remco Bhel Layout,unique,100.0,2,False
rest house road,rest house road,Rest House Road,unique,100.0,2,False
richards town,richards town,Richards Town,unique,100.0,7,False
richmond road,richmond road,Richmond Road,unique,100.0,1,False
richmond town,richmond town,Richmond Town,unique,100.0,9,False
ring road nagarbhavi,ring road nagarbhavi,Ring Road Nagarbhavi,unique,100.0,1,False
roopena agrahara,roopena agrahara,Roopena Agrahara,unique,100.0,8,False
rukmaiah layout,rukmaiah layout,Rukmaiah Layout,unique,100.0,1,False
rustam bagh layout,rustam bagh layout,Rustam Bagh Layout,unique,100.0,5,False
s r layout,s r layout,S R Layout,unique,100.0,1,False
sarjapur bagalur road,sarjapur bagalur road,SARJAPUR BAGALUR ROAD,unique,100.0,1,False
sbm colony,sbm colony,SBM Colony,unique,100.0,2,False
shanthinagar,shanthinagar,SHANTHINAGAR,unique,100.0,1,False
sk garden,sk garden,SK Garden,unique,100.0,1,False
smv layout,smv layout,SMV layout,unique,100.0,3,False
srinivasapura,srinivasapura,SRINIVASAPURA,unique,100.0,2,False
sabari nagar,sabari nagar,Sabari Nagar,unique,100.0,1,False
sadahalli,sadahalli,Sadahalli,unique,100.0,1,False
sadanand nagar,sadanand nagar,Sadanand Nagar,unique,100.0,2,False
sadaramangala,sadaramangala,Sadaramangala,unique,100.0,3,False
sadashiva nagar,sadashiva nagar,Sadashiva Nagar,unique,100.0,10,False
sadduguntepalya,sadduguntepalya,Sadduguntepalya,unique,100.0,1,False
sadhguru layout,sadhguru layout,Sadhguru Layout,unique,100.0,1,False
sahakara nagar,sahakara nagar,Sahakara Nagar,unique,100.0,37,False
sahyadri layout,sahyadri layout,Sahyadri Layout,unique,100.0,1,False
sai gardens,sai gardens,Sai Gardens,unique,100.0,4,False
samethanahalli,samethanahalli,Samethanahalli,unique,100.0,6,False
sampangi rama nagar,sampangi rama nagar,Sampangi Rama Nagar,unique,100.0,3,False
sampangirama nagar,sampangi rama nagar,Sampangi Rama Nagar,whitespace_normalization,100.0,1,False
sampige layout,sampige layout,Sampige Layout,unique,100.0,1,False
sampigehalli,sampigehalli,Sampigehalli,unique,100.0,2,False
sanjay nagar,sanjay nagar,Sanjay nagar,unique,100.0,20,False
sanjeevini nagar,sanjeevini nagar,Sanjeevini Nagar,unique,100.0,3,False
sanne amanikere,sanne amanikere,Sanne Amanikere,unique,100.0,3,False
saptagiri layout,saptagiri layout,Saptagiri Layout,unique,100.0,1,False
sarakki nagar,sarakki nagar,Sarakki Nagar,unique,100.0,14,False
sarjapur,sarjapur,Sarjapur,unique,100.0,82,False
sarjapur road,sarjapur road,Sarjapur  Road,unique,100.0,387,False
sarjapura attibele road,sarjapura attibele road,Sarjapura - Attibele Road,unique,100.0,17,False
sarvabhouma nagar,sarvabhouma nagar,Sarvabhouma Nagar,unique,100.0,3,False
sarvobhogam nagar,sarvobhogam nagar,Sarvobhogam Nagar,unique,100.0,1,False
sathanur,sathanur,Sathanur,unique,100.0,1,False
sathya layout,sathya layout,Sathya Layout,unique,100.0,3,False
sathya sai layout,sathya sai layout,Sathya Sai Layout,unique,100.0,8,False
satyasaibaba layout,satyasaibaba layout,Satyasaibaba Layout,unique,100.0,1,False
sector 1 hsr layout,sector 1 hsr layout,Sector 1 HSR Layout,unique,100.0,10,False
sector 2 hsr layout,sector 2 hsr layout,Sector 2 HSR Layout,unique,100.0,16,False
sector 3 hsr layout,sector 3 hsr layout,Sector 3 HSR Layout,unique,100.0,1,False
sector 4 hsr layout,sector 4 hsr layout,Sector 4 HSR Layout,unique,100.0,1,False
sector 6 hsr layout,sector 6 hsr layout,Sector 6 HSR Layout,unique,100.0,4,False
sector 7 hsr layout,sector 7 hsr layout,Sector 7 HSR Layout,unique,100.0,13,False
seegehalli,seegehalli,Seegehalli,unique,100.0,25,False
seethappa layout,seethappa layout,Seethappa Layout,unique,100.0,1,False
seetharampalya,seetharampalya,Seetharampalya,unique,100.0,8,False
seshadripuram,seshadripuram,Seshadripuram,unique,100.0,3,False
shakthi nagar,shakthi nagar,Shakthi Nagar,unique,100.0,1,False
shampura,shampura,Shampura,unique,100.0,13,False
shankarapuram,shankarapuram,Shankarapuram,unique,100.0,4,False
shanthala nagar,shanthala nagar,Shanthala Nagar,unique,100.0,5,False
shanthi layout,shanthi layout,Shanthi Layout,unique,100.0,2,False
shanthi pura,shanthi pura,Shanthi Pura,unique,100.0,1,False
shanti nagar,shanti nagar,Shanti Nagar,unique,100.0,8,False
shantiniketan layout,shantiniketan layout,Shantiniketan Layout,unique,100.0,6,False
shauhardha layout,shauhardha layout,Shauhardha Layout,unique,100.0,1,False
shettigere,shettigere,Shettigere,unique,100.0,3,False
shettihalli,shettihalli,Shettihalli,unique,100.0,1,False
shetty halli,shetty halli,Shetty Halli,unique,100.0,2,False
shikaripalya,shikaripalya,Shikaripalya,unique,100.0,8,False
shingapura,shingapura,Shingapura,unique,100.0,2,False
shirdi sai layout,shirdi sai layout,Shirdi Sai Layout,unique,100.0,2,False
shirdi sai nagar,shirdi sai nagar,Shirdi Sai Nagar,unique,100.0,1,False
shivaji nagar,shivaji nagar,Shivaji Nagar,unique,100.0,13,False
shivanagar,shivanagar,Shivanagar,unique,100.0,1,False
shree ananth nagar layout,shree ananth nagar layout,Shree Ananth Nagar Layout,unique,100.0,6,False
siddapura,siddapura,Siddapura,unique,100.0,6,False
sidedahalli,sidedahalli,Sidedahalli,unique,100.0,8,False
silk board,silk board,Silk Board,unique,100.0,5,False
silver springs layout,silver springs layout,Silver Springs Layout,unique,100.0,4,False
sindhi colony,sindhi colony,Sindhi Colony,unique,100.0,1,False
singanayakanahalli,singanayakanahalli,Singanayakanahalli,unique,100.0,3,False
singapura village,singapura village,Singapura Village,unique,100.0,7,False
singasandra,singasandra,Singasandra,unique,100.0,25,False
singena agrahara,singena agrahara,Singena Agrahara,unique,100.0,4,False
sir m v nagar,sir m v nagar,Sir M V Nagar,unique,100.0,1,False
sneha colony,sneha colony,Sneha Colony,unique,100.0,2,False
somanna garden,somanna garden,Somanna Garden,unique,100.0,1,False
somasundara palya,somasundara palya,Somasundara Palya,unique,100.0,27,False
someshwara layout,someshwara layout,Someshwara Layout,unique,100.0,2,False
sompura,sompura,Sompura,unique,100.0,12,False
sonam layout,sonam layout,Sonam Layout,unique,100.0,1,False
sonnenahalli,sonnenahalli,Sonnenahalli,unique,100.0,22,False
soppahalli,soppahalli,Soppahalli,unique,100.0,1,False
soundarya layout,soundarya layout,Soundarya Layout,unique,100.0,2,False
sree narayana nagar,sree narayana nagar,Sree Narayana Nagar,unique,100.0,1,False
sri balaji krupa layout,sri balaji krupa layout,Sri Balaji Krupa Layout,unique,100.0,3,False
sri kanteshwara nagar,sri kanteshwara nagar,Sri Kanteshwara Nagar,unique,100.0,1,False
sri sai layout,sri sai layout,Sri Sai Layout,unique,100.0,2,False
sri venkateshpura layout,sri venkateshpura layout,Sri Venkateshpura Layout,unique,100.0,2,False
srigandada kaval,srigandada kaval,Srigandada Kaval,unique,100.0,1,False
srinagar,srinagar,Srinagar,unique,100.0,3,False
srinivas colony,srinivas colony,Srinivas Colony,unique,100.0,2,False
srinivasa nagar,srinivasa nagar,Srinivasa Nagar,unique,100.0,6,False
srirampura,srirampura,Srirampura,unique,100.0,6,False
srirampuram,srirampuram,Srirampuram,unique,100.0,5,False
st thomas town,st thomas town,St Thomas Town,unique,100.0,1,False
st john s road,st john s road,St. John's Road,unique,100.0,2,False
stage 4 bommanahalli,stage 4 bommanahalli,Stage-4 Bommanahalli,unique,100.0,5,False
subash nagar,subash nagar,Subash Nagar,unique,100.0,2,False
subbannaiah palya,subbannaiah palya,Subbannaiah Palya,unique,100.0,1,False
subhash nagar,subhash nagar,Subhash Nagar,unique,100.0,1,False
subramanyanagar,subramanyanagar,Subramanyanagar,unique,100.0,1,False
subramanya nagar,subramanyanagar,Subramanyanagar,whitespace_normalization,100.0,1,False
subramanyapura,subramanyapura,Subramanyapura,unique,100.0,40,False
suddaguntepalya,suddaguntepalya,Suddaguntepalya,unique,100.0,4,False
sugama layout,sugama layout,Sugama Layout,unique,100.0,1,False
sultan palaya,sultan palaya,Sultan Palaya,unique,100.0,14,False
sulthangunta,sulthangunta,Sulthangunta,unique,100.0,1,False
sundar ram shetty nagar,sundar ram shetty nagar,Sundar Ram Shetty Nagar,unique,100.0,1,False
sundara nagar,sundara nagar,Sundara Nagar,unique,100.0,1,False
sunder ram shetty nagar,sunder ram shetty nagar,Sunder Ram Shetty Nagar,unique,100.0,2,False
sunkadakatte,sunkadakatte,Sunkadakatte,unique,100.0,5,False
sunkan palya,sunkan palya,Sunkan palya,unique,100.0,1,False
surabhi layout,surabhi layout,Surabhi Layout,unique,100.0,3,False
suragajakkanahalli,suragajakkanahalli,Suragajakkanahalli,unique,100.0,2,False
suraksha nagar,suraksha nagar,Suraksha Nagar,unique,100.0,6,False
suryanagar,suryanagar,Suryanagar,unique,100.0,1,False
syndicate bank colony,syndicate bank colony,Syndicate Bank Colony,unique,100.0,2,False
t c palya main road,t c palya main road,T C Palya main Road,unique,100.0,1,False
t dasarahalli,t dasarahalli,T Dasarahalli,unique,100.0,4,False
t g extension,t g extension,T G extension,unique,100.0,1,False
t k reddy layout,t k reddy layout,T K Reddy Layout,unique,100.0,1,False
t r mill road,t r mill road,T R Mill Road,unique,100.0,1,False
t c palya,t c palya,T.C PALYA,unique,100.0,6,False
tc palya,t c palya,T.C PALYA,whitespace_normalization,100.0,4,False
tc palaya,tc palaya,TC Palaya,unique,100.0,45,False
tr mill road chamarajpet,tr mill road chamarajpet,"TR Mill Road, Chamarajpet",unique,100.0,1,False
tala cauvery layout,tala cauvery layout,Tala Cauvery Layout,unique,100.0,4,False
talaghattapura,talaghattapura,Talaghattapura,unique,100.0,36,False
tasker town,tasker town,Tasker Town,unique,100.0,3,False
tata nagar,tata nagar,Tata Nagar,unique,100.0,4,False
tavarekere,tavarekere,Tavarekere,unique,100.0,4,False
teachers colony,teachers colony,Teachers Colony,unique,100.0,2,False
tejaswini nagar,tejaswini nagar,Tejaswini Nagar,unique,100.0,6,False
telecom layout,telecom layout,Telecom Layout,unique,100.0,3,False
thanisandra,thanisandra,Thanisandra,unique,100.0,232,False
thanisandra main road,thanisandra main road,Thanisandra main road,unique,100.0,7,False
tharabanahalli,tharabanahalli,Tharabanahalli,unique,100.0,1,False
thavarekere,thavarekere,Thavarekere,unique,100.0,1,False
thigalarapalya,thigalarapalya,Thigalarapalya,unique,100.0,48,False
thippasandra,thippasandra,Thippasandra,unique,100.0,3,False
thirumalashettyhally,thirumalashettyhally,Thirumalashettyhally,unique,100.0,1,False
thirumenahalli,thirumenahalli,Thirumenahalli,unique,100.0,8,False
thirupalya,thirupalya,Thirupalya,unique,100.0,1,False
thomas town,thomas town,Thomas Town,unique,100.0,2,False
thubarahalli,thubarahalli,Thubarahalli,unique,100.0,22,False
thurahalli,thurahalli,Thurahalli,unique,100.0,2,False
thyagaraja nagar,thyagaraja nagar,Thyagaraja Nagar,unique,100.0,11,False
thyagraj nagar,thyagraj nagar,Thyagraj Nagar,unique,100.0,1,False
tigalarpalya,tigalarpalya,Tigalarpalya,unique,100.0,2,False
tilak nagar,tilak nagar,Tilak Nagar,unique,100.0,1,False
tindlu,tindlu,Tindlu,unique,100.0,11,False
tippenahalli,tippenahalli,Tippenahalli,unique,100.0,1,False
tirumanahalli,tirumanahalli,Tirumanahalli,unique,100.0,3,False
tumkur road,tumkur road,Tumkur Road,unique,100.0,33,False
tunganagara,tunganagara,Tunganagara,unique,100.0,3,False
uday nagar,uday nagar,Uday Nagar,unique,100.0,2,False
udaya nagar,udaya nagar,Udaya Nagar,unique,100.0,4,False
udayagiri,udayagiri,Udayagiri,unique,100.0,1,False
udayapur village,udayapur village,Udayapur Village,unique,100.0,4,False
ullal road,ullal road,Ullal Road,unique,100.0,3,False
ullal uppanagar,ullal uppanagar,Ullal Uppanagar,unique,100.0,3,False
ulsoor,ulsoor,Ulsoor,unique,100.0,21,False
unknown,unknown,Unknown,unique,100.0,1,False
upadhyaya layout,upadhyaya layout,Upadhyaya Layout,unique,100.0,2,False
upkar layout,upkar layout,Upkar Layout,unique,100.0,4,False
uttarahalli,uttarahalli,Uttarahalli,unique,100.0,157,False
uvce layout,uvce layout,Uvce Layout,unique,100.0,1,False
v v puram,v v puram,V.V Puram,unique,100.0,2,False
vgp layout,vgp layout,VGP Layout,unique,100.0,5,False
vhbcs layout,vhbcs layout,VHBCS Layout,unique,100.0,2,False
vadarpalya,vadarpalya,Vadarpalya,unique,100.0,3,False
vaderahalli,vaderahalli,Vaderahalli,unique,100.0,2,False
vaishnavi layout,vaishnavi layout,Vaishnavi Layout,unique,100.0,4,False
vajarahalli,vajarahalli,Vajarahalli,unique,100.0,8,False
varanasi,varanasi,Varanasi,unique,100.0,6,False
varsova layout,varsova layout,Varsova Layout,unique,100.0,4,False
varthur,varthur,Varthur,unique,100.0,68,False
varthur road,varthur road,Varthur Road,unique,100.0,17,False
vasantapura main road,vasantapura main road,Vasantapura main road,unique,100.0,1,False
vasanth nagar,vasanth nagar,Vasanth nagar,unique,100.0,8,False
vasantha vallabha nagar,vasantha vallabha nagar,Vasantha Vallabha Nagar,unique,100.0,5,False
vasanthapura,vasanthapura,Vasanthapura,unique,100.0,10,False
vasanthpura,vasanthpura,Vasanthpura,unique,100.0,2,False
vasatha vallbha nagar,vasatha vallbha nagar,Vasatha Vallbha Nagar,unique,100.0,1,False
vayunandana layout,vayunandana layout,Vayunandana Layout,unique,100.0,1,False
veer sandra,veer sandra,Veer Sandra,unique,100.0,2,False
veersandra,veer sandra,Veer Sandra,whitespace_normalization,100.0,2,False
veerabhadra nagar,veerabhadra nagar,Veerabhadra Nagar,unique,100.0,1,False
veerannapalya,veerannapalya,Veerannapalya,unique,100.0,3,False
venkatadri layout,venkatadri layout,Venkatadri Layout,unique,100.0,3,False
venkatapura,venkatapura,Venkatapura,unique,100.0,6,False
venkateshpuram,venkateshpuram,Venkateshpuram,unique,100.0,1,False
venkateswara nagar,venkateswara nagar,Venkateswara Nagar,unique,100.0,1,False
venugopal reddy layout,venugopal reddy layout,Venugopal Reddy Layout,unique,100.0,3,False
versova layout,versova layout,Versova Layout,unique,100.0,2,False
vibhutipura extension,vibhutipura extension,Vibhutipura Extension,unique,100.0,2,False
vibuthipura,vibuthipura,Vibuthipura,unique,100.0,2,False
victoria layout,victoria layout,Victoria Layout,unique,100.0,7,False
vidhyanagar cross,vidhyanagar cross,Vidhyanagar Cross,unique,100.0,1,False
vidya nagar,vidya nagar,Vidya Nagar,unique,100.0,1,False
vidyapeeta,vidyapeeta,Vidyapeeta,unique,100.0,1,False
vidyaranyapura,vidyaranyapura,Vidyaranyapura,unique,100.0,41,False
vignana nagar,vignana nagar,Vignana Nagar,unique,100.0,9,False
vijay nagar,vijay nagar,Vijay Nagar,unique,100.0,1,False
vijaya bank colony,vijaya bank colony,Vijaya Bank Colony,unique,100.0,1,False
vijaya bank layout,vijaya bank layout,Vijaya Bank Layout,unique,100.0,7,False
vijayabank bank layout,vijayabank bank layout,Vijayabank bank layout,unique,100.0,1,False
vijayanagar,vijayanagar,Vijayanagar,unique,100.0,42,False
vijaypura,vijaypura,Vijaypura,unique,100.0,1,False
vijinapura,vijinapura,Vijinapura,unique,100.0,2,False
vikram nagar,vikram nagar,Vikram Nagar,unique,100.0,1,False
vimanapura,vimanapura,Vimanapura,unique,100.0,3,False
vinayak nagar,vinayak nagar,Vinayak Nagar,unique,100.0,3,False
vinayaka layout,vinayaka layout,Vinayaka Layout,unique,100.0,1,False
vinayaka nagar,vinayaka nagar,Vinayaka Nagar,unique,100.0,4,False
vinayakanagar,vinayaka nagar,Vinayaka Nagar,whitespace_normalization,100.0,1,False
virat nagar,virat nagar,Virat Nagar,unique,100.0,5,False
virgonagar,virgonagar,Virgonagar,unique,100.0,1,False
virudhu nagar,virudhu nagar,Virudhu Nagar,unique,100.0,1,False
virupakshapura,virupakshapura,Virupakshapura,unique,100.0,3,False
vishveshwarya layout,vishveshwarya layout,Vishveshwarya Layout,unique,100.0,13,False
vishwanatha nagenahalli,vishwanatha nagenahalli,Vishwanatha Nagenahalli,unique,100.0,9,False
vishwapriya layout,vishwapriya layout,Vishwapriya Layout,unique,100.0,12,False
vishwapriya nagar,vishwapriya nagar,Vishwapriya Nagar,unique,100.0,5,False
viswajit layout,viswajit layout,Viswajit Layout,unique,100.0,1,False
viswapriyanagar begur road bommanahalli,viswapriyanagar begur road bommanahalli,Viswapriyanagar.begur Road.bommanahalli.,unique,100.0,1,False
vittal mallya road,vittal mallya road,Vittal Mallya Road,unique,100.0,1,False
vittal nagar,vittal nagar,Vittal Nagar,unique,100.0,3,False
vittasandra,vittasandra,Vittasandra,unique,100.0,35,False
vivek nagar,vivek nagar,Vivek Nagar,unique,100.0,2,False
viviani road,viviani road,Viviani Road,unique,100.0,1,False
volagerekallahalli,volagerekallahalli,Volagerekallahalli,unique,100.0,9,False
vyalikaval,vyalikaval,Vyalikaval,unique,100.0,2,False
wajid layout thanisandra,wajid layout thanisandra,Wajid layout thanisandra,unique,100.0,1,False
weavers colony,weavers colony,Weavers Colony,unique,100.0,3,False
west of chord road,west of chord road,West of Chord Road,unique,100.0,1,False
wheelers road,wheelers road,Wheelers Road,unique,100.0,1,False
whietfield,whietfield,"Whietfield,",unique,100.0,1,False
whitefield,whitefield,Whitefield,unique,100.0,526,False
whitefield ecc road,whitefield ecc road,Whitefield ECC Road,unique,100.0,1,False
williams town,williams town,Williams Town,unique,100.0,1,False
wilson garden,wilson garden,Wilson Garden,unique,100.0,7,False
xavier layout,xavier layout,Xavier Layout,unique,100.0,1,False
yarandahalli,yarandahalli,Yarandahalli,unique,100.0,2,False
yediyur,yediyur,Yediyur,unique,100.0,1,False
yelachenahalli,yelachenahalli,Yelachenahalli,unique,100.0,20,False
yelahanka,yelahanka,Yelahanka,unique,100.0,210,False
yelahanka new town,yelahanka new town,Yelahanka New Town,unique,100.0,41,False
yelahanka mvit college,yelahanka mvit college,"Yelahanka,MVIT college",unique,100.0,1,False
yelenahalli,yelenahalli,Yelenahalli,unique,100.0,13,False
yemlur,yemlur,Yemlur,unique,100.0,9,False
yemlur old airport road,yemlur old airport road,"Yemlur, Old Airport Road,",unique,100.0,1,False
yeshwanthpur,yeshwanthpur,Yeshwanthpur,unique,100.0,83,False
yeshwanthpur industrial suburb,yeshwanthpur industrial suburb,Yeshwanthpur Industrial Suburb,unique,100.0,3,False
zuzuvadi,zuzuvadi,Zuzuvadi,unique,100.0,1,False
adigondanhalli,adigondanhalli,adigondanhalli,unique,100.0,1,False
akshaya nagar t c palya,akshaya nagar t c palya,akshaya nagar t c palya,unique,100.0,1,False
anjananager magdi road,anjananager magdi road,anjananager magdi road,unique,100.0,1,False
arudi,arudi,arudi,unique,100.0,1,False
asha township off hennur road,asha township off hennur road,"asha township, off hennur road",unique,100.0,1,False
banashankari stage iii sa,banashankari stage iii sa,banashankari stage iii sa,unique,100.0,1,False
basaveshwarnagar,basaveshwarnagar,basaveshwarnagar,unique,100.0,1,False
beml layout basaveshwara nagar,beml layout basaveshwara nagar,"beml layout, basaveshwara nagar",unique,100.0,1,False
bsk 6th stage 2ad block near sri conversation hall,bsk 6th stage 2ad block near sri conversation hall,bsk 6th stage 2ad block near sri conversation hall,unique,100.0,1,False
elachenahalli,elachenahalli,elachenahalli,unique,100.0,1,False
kadubisnahalli,kadubisnahalli,kadubisnahalli,unique,100.0,1,False
kamanahalli main road,kamanahalli main road,kamanahalli main road,unique,100.0,1,False
kanakapura main road,kanakapura main road,kanakapura main road,unique,100.0,3,False
kanakapura road,kanakapura road,kanakapura road,unique,100.0,3,False
kg halli jalhalli west,kg halli jalhalli west,kg halli jalhalli west,unique,100.0,1,False
manyata,manyata,manyata,unique,100.0,1,False
manyata park,manyata park,manyata park,unique,100.0,2,False
manyata tech park,manyata tech park,manyata tech park,unique,100.0,1,False
mvj engineering college,mvj engineering college,mvj engineering college,unique,100.0,1,False
near ramanashree california resort,near ramanashree california resort,near Ramanashree California resort,unique,100.0,1,False
pavitra paradise,pavitra paradise,pavitra paradise,unique,100.0,1,False
poornaprajna layout,poornaprajna layout,poornaprajna layout,unique,100.0,1,False
ravindra nagar t dasarahalli peenya,ravindra nagar t dasarahalli peenya,"ravindra nagar, T.dasarahalli peenya",unique,100.0,1,False
rr nagar,rr nagar,rr nagar,unique,100.0,2,False
sankeswari,sankeswari,sankeswari,unique,100.0,1,False
sapthagiri layout,sapthagiri layout,sapthagiri Layout,unique,100.0,1,False
sarjapura main road,sarjapura main road,sarjapura main road,unique,100.0,1,False
singapura paradise,singapura paradise,singapura paradise,unique,100.0,1,False
south,south,south,unique,100.0,2,False
white field kadugodi,white field kadugodi,"white field,kadugodi",unique,100.0,1,False
whitefiled,whitefiled,whitefiled,unique,100.0,1,False
