Locality,Listings,Median Price (Lakhs INR),Median Rs per sqft,Tier
Kada Agrahara,5,40.0,3743.3155080213905,Insufficient data (<10 listings)
Sadaramangala,3,52.0,3730.2725968436157,Insufficient data (<10 listings)
Mico Layout,12,48.75,3729.714912280702,Tier 3 - Value
Doddathoguru,29,42.0,3725.1655629139073,Tier 3 - Value
Chikkadunnasandra,5,50.0,3722.2619899785254,Insufficient data (<10 listings)
Byagadadhenahalli,5,23.0,3709.6774193548385,Insufficient data (<10 listings)
Begur Road,74,49.67,3707.744883727831,Tier 3 - Value
Hoskote,21,45.0,3703.703703703704,Tier 3 - Value
Geleyara Balaga Layout,2,24.0,3702.7804410354747,Insufficient data (<10 listings)
Vimanapura,3,64.0,3686.274509803922,Insufficient data (<10 listings)
Sree Narayana Nagar,1,50.0,3681.8851251840942,Insufficient data (<10 listings)
Addischetan Layout,1,55.0,3678.9297658862874,Insufficient data (<10 listings)
Anekal,30,35.0,3677.917786102597,Tier 3 - Value
Shree Ananth Nagar Layout,6,51.0,3672.5245653817083,Insufficient data (<10 listings)
Gunjur Palya,10,41.0,3654.7619047619046,Tier 3 - Value
Nelamangala,7,40.0,3653.846153846154,Insufficient data (<10 listings)
Pillanna Gardens,1,20.0,3636.3636363636365,Insufficient data (<10 listings)
Belathur,5,39.0,3619.0476190476193,Insufficient data (<10 listings)
Channasandra,38,40.235,3597.0801820493944,Tier 3 - Value
Banashankari Stage V,12,49.0,3591.137194393931,Tier 3 - Value
Channasandra Layout,7,52.0,3583.061889250814,Insufficient data (<10 listings)
Anjanapura,16,42.5,3582.9932868237465,Tier 3 - Value
Gulimangala,3,50.0,3571.4285714285716,Insufficient data (<10 listings)
Malur Hosur Road,1,100.0,3571.4285714285716,Insufficient data (<10 listings)
Gopal Reddy Layout,1,75.0,3571.4285714285716,Insufficient data (<10 listings)
Celebrity Paradise Layout,2,19.244999999999997,3568.2672590567327,Insufficient data (<10 listings)
Maithri Layout,5,60.0,3560.8308605341244,Insufficient data (<10 listings)
Aavalahalli,1,41.94,3554.237288135593,Insufficient data (<10 listings)
Satyasaibaba Layout,1,42.25,3550.4201680672268,Insufficient data (<10 listings)
Thirumenahalli,8,49.165,3543.269776415844,Insufficient data (<10 listings)
Viswapriyanagar.begur Road.bommanahalli.,1,85.0,3541.6666666666665,Insufficient data (<10 listings)
Amrita Nagar,1,150.0,3529.4117647058824,Insufficient data (<10 listings)
Alur,3,15.0,3529.4117647058824,Insufficient data (<10 listings)
JCR Layout,4,41.14,3526.6437755698425,Insufficient data (<10 listings)
Sri Sai Layout,2,38.7,3524.0585774058577,Insufficient data (<10 listings)
Chuchangatta Colony,1,44.0,3520.0,Insufficient data (<10 listings)
Dominic Layout,1,39.14,3510.3139013452915,Insufficient data (<10 listings)
Duddanahalli,1,47.0,3507.4626865671644,Insufficient data (<10 listings)
Byrasandra Extension,1,45.0,3501.9455252918287,Insufficient data (<10 listings)
whitefiled,1,32.73,3500.5347593582883,Insufficient data (<10 listings)
Kanakapura  Rod,1,45.68,3500.383141762452,Insufficient data (<10 listings)
kanakapura main road,3,37.8,3500.334448160535,Insufficient data (<10 listings)
adigondanhalli,1,42.0,3500.0,Insufficient data (<10 listings)
Vasatha Vallbha Nagar,1,37.8,3499.9999999999995,Insufficient data (<10 listings)
Abbaiah Reddy Layout,6,39.75,3499.5454545454545,Insufficient data (<10 listings)
Vasantapura main road,1,36.28,3498.553519768563,Insufficient data (<10 listings)
Virgonagar,1,42.2,3473.251028806584,Insufficient data (<10 listings)
Hanumagiri,1,38.0,3454.5454545454545,Insufficient data (<10 listings)
Bethel Nagar,3,33.0,3437.5,Insufficient data (<10 listings)
Lakshmipura Vidyaanyapura,1,120.0,3428.5714285714284,Insufficient data (<10 listings)
Sadahalli,1,130.0,3421.0526315789475,Insufficient data (<10 listings)
Sarjapura - Attibele Road,17,48.0,3394.4954128440368,Tier 3 - Value
Rajanna Layout,1,37.6,3369.1756272401435,Insufficient data (<10 listings)
"Electronic city Phase 1,",4,44.5,3362.31884057971,Insufficient data (<10 listings)
Iggalur,1,30.5,3351.6483516483518,Insufficient data (<10 listings)
Venkateswara Nagar,1,20.0,3333.3333333333335,Insufficient data (<10 listings)
Wajid layout thanisandra,1,100.0,3333.3333333333335,Insufficient data (<10 listings)
Basavanagara,5,80.0,3333.3333333333335,Insufficient data (<10 listings)
Kereguddadahalli,16,33.5,3312.517841849843,Tier 3 - Value
Gollarahatti,1,24.5,3310.810810810811,Insufficient data (<10 listings)
Adityanagar,3,41.0,3253.968253968254,Insufficient data (<10 listings)
Sanne Amanikere,3,38.0,3206.7510548523205,Insufficient data (<10 listings)
Keerthi Layout,1,25.0,3205.128205128205,Insufficient data (<10 listings)
Weavers Colony,2,26.0,3201.9704433497536,Insufficient data (<10 listings)
Shakthi Nagar,1,36.0,3200.0,Insufficient data (<10 listings)
Kenchanehalli R R Nagar,1,45.12,3200.0,Insufficient data (<10 listings)
Raja Rajashweri Nagar,1,45.12,3200.0,Insufficient data (<10 listings)
Rajarajesheari nagar,1,44.8,3200.0,Insufficient data (<10 listings)
Thirumalashettyhally,1,34.46,3199.6285979572885,Insufficient data (<10 listings)
P&T Layout,3,39.7,3196.45732689211,Insufficient data (<10 listings)
Kothnoor Dinne,2,36.5,3185.6060606060605,Insufficient data (<10 listings)
Volagerekallahalli,9,33.99,3185.5670103092784,Insufficient data (<10 listings)
Soundarya Layout,2,29.5,3166.666666666667,Insufficient data (<10 listings)
Asthagrama Layout,1,38.0,3166.6666666666665,Insufficient data (<10 listings)
Maruthi HBCS Layout,1,39.5,3160.0,Insufficient data (<10 listings)
K G Colony,1,50.0,3125.0,Insufficient data (<10 listings)
Kodathi,4,29.25,3112.9206764990604,Insufficient data (<10 listings)
Byappanahalli,1,90.0,3103.448275862069,Insufficient data (<10 listings)
Makali,3,15.0,3092.783505154639,Insufficient data (<10 listings)
Bilal Nagar,1,20.0,3076.923076923077,Insufficient data (<10 listings)
Dommasandra,13,40.0,3049.3707647628266,Tier 3 - Value
Kammasandra,29,33.0,3032.7868852459014,Tier 3 - Value
Suryanagar,1,45.0,3000.0,Insufficient data (<10 listings)
Electronic City Phase II,128,38.12,3000.0,Tier 3 - Value
Ananth Nagar,29,27.0,2970.0,Tier 3 - Value
Attibele,41,25.0,2941.176470588235,Tier 3 - Value
BAGUR ROAD,1,35.0,2916.6666666666665,Insufficient data (<10 listings)
Jeevanhalli,1,35.0,2916.6666666666665,Insufficient data (<10 listings)
Vidhyanagar Cross,1,32.0,2909.090909090909,Insufficient data (<10 listings)
Bommasandra Industrial Area,26,36.53,2888.0366972477063,Tier 3 - Value
Huskur,8,34.435,2887.821701199564,Insufficient data (<10 listings)
2Electronic City Phase II,1,230.0,2875.0,Insufficient data (<10 listings)
Madanayakahalli,1,34.0,2833.3333333333335,Insufficient data (<10 listings)
Tunganagara,3,35.56,2800.103305785124,Insufficient data (<10 listings)
Sir M V Nagar,1,120.0,2727.2727272727275,Insufficient data (<10 listings)
Chandapura,82,30.0,2707.3867595818815,Tier 3 - Value
Kadabagere,5,15.0,2654.8672566371683,Insufficient data (<10 listings)
Phase 1 Kammasandra,2,26.59,2548.0255457972003,Insufficient data (<10 listings)
Handenahalli,1,120.0,2526.315789473684,Insufficient data (<10 listings)
BDS Layout,1,37.5,2500.0,Insufficient data (<10 listings)
1 Immadihalli,1,150.0,2500.0,Insufficient data (<10 listings)
BAGUR,1,17.0,2478.134110787172,Insufficient data (<10 listings)
Sadhguru Layout,1,55.0,2149.2770613520906,Insufficient data (<10 listings)
5 Bedroom Farm House in Lakshmipura,1,550.0,2104.3771043771044,Insufficient data (<10 listings)
"Yelahanka,MVIT college",1,150.0,1495.5134596211367,Insufficient data (<10 listings)
Indranagar  100ft road defence colony,1,80.0,1379.3103448275863,Insufficient data (<10 listings)
SARJAPUR BAGALUR ROAD,1,80.0,729.8604141957851,Insufficient data (<10 listings)
4 Bedroom Farm House in Bagalur,1,80.0,729.8604141957851,Insufficient data (<10 listings)
